City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tiksi,71.6872,128.8694,-27.01,96,99,3.34,RU,1738753479
1,ribeira grande,38.5167,-28.7,18.22,94,75,6.26,PT,1738753480
2,cestos city,5.46,-9.5828,28.75,67,12,2.26,LR,1738753482
3,dudinka,69.4058,86.1778,-24.91,99,95,1.39,RU,1738753483
4,cabo san lucas,22.8909,-109.9124,16.27,61,0,4.51,MX,1738753213
5,juan griego,11.0817,-63.9655,23.39,89,94,3.19,VE,1738753485
6,udachny,66.4167,112.4,-22.51,99,100,2.73,RU,1738753331
7,yuzhno-kurilsk,44.0306,145.8556,-2.34,76,65,4.94,RU,1738753487
8,alotau,-10.3069,150.4462,25.68,88,100,3.01,PG,1738753488
9,lae,-6.7221,146.9847,25.1,82,98,0.83,PG,1738753489
10,albany,42.6001,-73.9662,-9.7,63,99,1.79,US,1738753105
11,mount pearl,47.5166,-52.7813,-5.48,85,75,8.23,CA,1738753491
12,enewetak,11.3474,162.3373,27.32,71,100,9.3,MH,1738753493
13,grytviken,-54.2811,-36.5092,2.06,97,99,6.01,GS,1738753494
14,jamestown,42.097,-79.2353,-8.58,85,100,2.57,US,1738753364
15,port mathurin,-19.6833,63.4167,27.49,73,5,2.38,MU,1738753496
16,linxia chengguanzhen,35.6003,103.2064,-8.61,79,98,0.54,CN,1738753497
17,ishinomaki,38.4167,141.3,-1.6,77,89,4.88,JP,1738753498
18,wailua homesteads,22.0669,-159.378,16.44,88,0,4.12,US,1738753499
19,jhang sadr,31.2715,72.3284,22.58,13,0,1.84,PK,1738753500
20,port-aux-francais,-49.35,70.2167,6.55,93,93,8.44,TF,1738753502
21,pisco,-13.7,-76.2167,21.03,94,75,1.03,PE,1738753503
22,saldanha,-33.0117,17.9442,19.83,68,76,10.81,ZA,1738753237
23,longyearbyen,78.2186,15.6401,-2.09,74,75,12.86,SJ,1738753505
24,guerrero negro,27.9769,-114.0611,13.1,92,0,4.48,MX,1738753463
25,port alfred,-33.5906,26.891,23.99,78,88,3.13,ZA,1738753507
26,nuku'alofa,-21.1333,-175.2,23.19,94,75,2.06,TO,1738753508
27,kailua-kona,19.6406,-155.9956,20.31,82,1,0.45,US,1738753356
28,soe,-9.8607,124.284,20.64,86,100,2.16,ID,1738753510
29,fale old settlement,-9.3852,-171.2468,28.5,74,43,7.01,TK,1738753512
30,touros,-5.1989,-35.4608,27.37,76,75,4.33,BR,1738753513
31,ugoofaaru,5.6667,73.0,27.62,67,3,2.81,MV,1738753514
32,machulishchy,53.7788,27.5948,-1.79,59,76,1.39,BY,1738753515
33,kapuskasing,49.4169,-82.4331,-22.95,77,0,4.12,CA,1738753516
34,padangsidempuan,1.3667,99.2667,23.14,92,100,1.38,ID,1738753518
35,sankt polten,48.2,15.6333,3.23,48,78,5.33,AT,1738753519
36,bilibino,68.0546,166.4372,-41.98,94,8,1.59,RU,1738753521
37,port saint john's,-31.6229,29.5448,26.19,82,90,8.45,ZA,1738753522
38,ecoporanga,-18.3733,-40.8306,22.69,82,86,1.66,BR,1738753237
39,iqaluit,63.7506,-68.5145,-32.15,68,40,1.54,CA,1738753524
40,selfoss,63.9331,-20.9971,1.69,78,100,11.03,IS,1738753525
41,olonkinbyen,70.9221,-8.7187,-1.9,75,77,10.46,SJ,1738753526
42,whitehorse,60.7161,-135.0538,-21.22,74,75,0.0,CA,1738753528
43,bredasdorp,-34.5322,20.0403,18.89,58,100,5.23,ZA,1738753529
44,puerto ayora,-0.7393,-90.3518,24.19,99,5,0.45,EC,1738753530
45,rawson,-43.3002,-65.1023,18.16,59,0,7.2,AR,1738753531
46,aykol,38.1751,77.2132,1.45,28,60,3.77,CN,1738753533
47,las palmas,28.4204,-14.0131,17.44,59,75,9.77,ES,1738753534
48,kone,-21.0595,164.8658,24.63,93,99,2.13,NC,1738753535
49,pemangkat,1.1667,108.9667,24.49,92,100,7.81,ID,1738753536
50,puerto natales,-51.7236,-72.4875,9.25,66,75,3.09,CL,1738753537
51,santa cruz,-17.8,-63.1667,24.03,94,75,6.17,BO,1738753340
52,sidi khaled,34.387,4.9879,15.42,44,11,3.4,DZ,1738753539
53,great falls,47.5002,-111.3008,-21.75,75,75,2.57,US,1738753540
54,vernon,50.2581,-119.2691,-17.21,95,76,0.61,CA,1738753542
55,bethel,41.3712,-73.414,-4.32,68,100,0.89,US,1738753491
56,saipan,15.1355,145.701,28.39,75,0,7.72,MP,1738753544
57,koryazhma,61.3143,47.1691,-2.81,94,99,1.81,RU,1738753471
58,ponta delgada,37.7333,-25.6667,18.44,94,75,5.66,PT,1738753546
59,georgetown,5.4112,100.3354,30.97,50,20,4.63,MY,1738753547
60,invercargill,-46.4,168.35,13.9,96,100,3.13,NZ,1738753549
61,petropavlovsk-kamchatsky,53.0452,158.6483,-1.67,59,75,11.0,RU,1738753550
62,sarapul,56.4763,53.7978,-2.78,91,100,1.49,RU,1738753528
63,nanakuli,21.3906,-158.1547,20.97,82,100,1.54,US,1738753554
64,blackmans bay,-43.0167,147.3167,14.07,74,43,2.38,AU,1738753555
65,caibarien,22.5206,-79.4669,22.83,78,98,6.17,CU,1738753556
66,aral,40.5156,81.2636,-1.84,49,100,2.82,CN,1738753557
67,moyale,3.5167,39.0584,32.0,15,73,6.6,KE,1738753558
68,greenville,35.6127,-77.3663,6.75,77,100,3.09,US,1738753335
69,tacna,-18.0056,-70.2483,17.11,77,0,0.0,PE,1738753506
70,papatowai,-46.5619,169.4708,14.01,96,99,3.84,NZ,1738753562
71,punta arenas,-53.15,-70.9167,8.06,71,0,1.54,CL,1738753563
72,patacamaya,-17.2333,-67.9167,6.52,81,25,1.5,BO,1738753564
73,adamstown,-25.066,-130.1015,25.09,78,87,4.79,PN,1738753565
74,ujae,8.9322,165.7642,27.18,84,96,10.94,MH,1738753566
75,port moresby,-9.4431,147.1797,27.68,83,75,2.06,PG,1738753567
76,kodiak,57.79,-152.4072,-8.27,93,0,2.06,US,1738753568
77,muisne,0.6,-80.0333,23.85,90,59,1.24,EC,1738753570
78,port lincoln,-34.7333,135.8667,18.94,63,0,8.22,AU,1738753571
79,uturoa,-16.7333,-151.4333,27.44,76,75,4.84,PF,1738753572
80,hell-ville,-13.4,48.2667,25.93,88,75,1.03,MG,1738753573
81,lihue,21.9789,-159.3672,16.77,88,0,4.12,US,1738753574
82,yellowknife,62.456,-114.3525,-7.55,97,100,4.12,CA,1738753575
83,turpan,42.9333,89.1667,1.5,37,0,1.86,CN,1738753576
84,puerto colombia,10.9878,-74.9547,25.05,84,100,8.02,CO,1738753578
85,west island,-12.1568,96.8225,29.99,84,100,3.6,CC,1738753579
86,edinburgh of the seven seas,-37.0676,-12.3116,17.44,80,35,8.06,SH,1738753580
87,gamba,-2.65,10.0,29.08,75,88,3.11,GA,1738753581
88,atafu village,-8.5421,-172.5159,28.4,76,79,7.48,TK,1738753582
89,mingora,34.7758,72.3625,14.13,30,59,2.75,PK,1738753584
90,villamontes,-21.25,-63.5,20.84,59,33,3.1,BO,1738753585
91,filey,54.21,-0.2892,7.25,64,29,0.89,GB,1738753586
92,stornoway,58.2093,-6.3865,5.61,85,40,5.14,GB,1738753587
93,colonia,50.9333,6.95,4.47,99,96,1.11,DE,1738753322
94,la'ie,21.6477,-157.9253,20.06,81,64,0.45,US,1738753589
95,northam,51.0333,-4.2167,8.78,79,93,0.45,GB,1738753591
96,astrakhan,46.3497,48.0408,1.93,80,100,5.0,RU,1738753592
97,mata-utu,-13.2816,-176.1745,28.75,69,31,2.44,WF,1738753593
98,forster,-32.1667,152.5167,22.43,89,90,0.34,AU,1738753594
99,klyuchi,52.2667,79.1667,-9.29,94,50,4.73,RU,1738753595
100,torghay,49.6339,63.4981,-4.16,86,53,6.69,KZ,1738753596
101,usogorsk,63.4106,48.6872,-2.2,86,100,2.35,RU,1738753598
102,pangai,-19.8,-174.35,25.55,87,99,9.38,TO,1738753600
103,puerto cabezas,14.0351,-83.3888,23.21,91,76,2.86,NI,1738753601
104,taoudenni,22.6783,-3.9836,21.66,15,0,8.2,ML,1738753602
105,iskateley,67.6803,53.1512,-11.2,96,84,4.08,RU,1738753603
106,aasiaat,68.7098,-52.8699,-24.28,98,100,3.17,GL,1738753605
107,jiexiu,37.0244,111.9125,-2.86,27,0,3.35,CN,1738753606
108,coahuayana de hidalgo,18.7,-103.6583,20.79,76,1,1.41,MX,1738753608
109,alaghsas,17.0187,8.0168,32.35,8,22,5.95,NE,1738753609
110,constantia,44.1833,28.65,2.61,58,82,8.45,RO,1738753610
111,ilulissat,69.2167,-51.1,-20.99,54,40,3.09,GL,1738753611
112,sterlibashevo,53.4376,55.2578,-3.39,86,97,3.41,RU,1738753612
113,abepura,-2.6333,140.5833,25.45,94,20,0.51,ID,1738753614
114,halifax,44.6453,-63.5724,-10.31,79,20,4.63,CA,1738753593
115,aquiraz,-3.9014,-38.3911,28.05,87,58,3.24,BR,1738753616
116,saint-francois,46.4154,3.9054,-1.31,100,100,1.54,FR,1738753617
117,hawaiian paradise park,19.5933,-154.9731,18.83,99,100,2.57,US,1738753618
118,nuuk,64.1835,-51.7216,-13.66,66,20,6.69,GL,1738753619
119,hasaki,35.7333,140.8333,5.26,33,73,12.14,JP,1738753620
120,qaqortoq,60.7167,-46.0333,-19.46,72,100,1.17,GL,1738753621
121,ostersund,63.1792,14.6357,2.56,89,40,4.12,SE,1738753622
122,kayangel,8.0823,134.7173,27.31,83,100,6.98,PW,1738753623
123,stanley,54.868,-1.6985,5.85,76,20,4.12,GB,1738753625
124,zacharo,37.4833,21.65,13.94,54,12,2.32,GR,1738753626
125,alice springs,-23.7,133.8833,34.75,21,88,8.23,AU,1738753627
126,isafjordur,66.0755,-23.124,-1.98,93,100,3.6,IS,1738753628
127,talnakh,69.4865,88.3972,-25.61,91,90,2.05,RU,1738753630
128,geraldton,-28.7667,114.6,27.23,65,0,7.2,AU,1738753631
129,san andres,12.5847,-81.7006,27.01,83,40,6.17,CO,1738753633
130,saint-pierre,-21.3393,55.4781,31.82,70,75,4.12,RE,1738753634
131,vytegra,61.0064,36.4481,-7.48,87,22,2.96,RU,1738753635
132,labytnangi,66.6572,66.4183,-22.04,98,48,2.73,RU,1738753387
133,tazovsky,67.4667,78.7,-21.36,100,87,2.7,RU,1738753359
134,portland,45.5234,-122.6762,2.4,92,100,2.68,US,1738753200
135,sinabang,2.4803,96.3801,27.53,80,93,2.12,ID,1738753639
136,dewas,22.9667,76.0667,25.73,22,0,3.54,IN,1738753638
137,takoradi,4.8845,-1.7554,30.01,68,85,2.3,GH,1738753641
138,bata,1.8639,9.7658,29.14,68,100,2.97,GQ,1738753616
139,waitangi,-43.9535,-176.5597,12.12,89,100,1.79,NZ,1738753644
140,baghdad,33.3406,44.4009,21.95,28,0,12.86,IQ,1738753645
141,jumla,29.2747,82.1838,8.55,36,0,3.67,NP,1738753646
142,luganville,-15.5333,167.1667,25.75,85,100,2.64,VU,1738753647
143,college,64.8569,-147.8028,-11.97,73,100,1.54,US,1738753648
144,berdigestyakh,62.0989,126.6992,-39.29,100,37,1.39,RU,1738753649
145,luanda,-8.8368,13.2343,27.45,78,100,2.8,AO,1738753497
146,benguela,-12.5763,13.4055,28.75,65,83,4.37,AO,1738753652
147,puerto lempira,15.2667,-83.7667,23.88,88,100,3.63,HN,1738753653
148,luderitz,-26.6481,15.1594,25.0,53,99,7.84,NA,1738753654
149,linqiong,30.4159,103.4609,8.07,82,97,2.05,CN,1738753519
150,gizo,-8.103,156.8419,28.95,73,100,3.36,SB,1738753656
151,chilliwack,49.1747,-121.9443,-6.36,53,65,2.68,CA,1738753657
152,tuni,17.35,82.55,27.85,58,74,5.57,IN,1738753658
153,chivilcoy,-34.8957,-60.0167,19.25,96,100,4.67,AR,1738753659
154,mosina,52.2454,16.8471,2.16,75,0,4.63,PL,1738753660
155,hirara,24.8,125.2833,15.39,56,64,6.34,JP,1738753662
156,zarghun shahr,32.8473,68.4457,0.26,47,3,3.01,AF,1738753663
157,callao,-12.0667,-77.15,23.18,94,75,3.09,PE,1738753490
158,afaahiti,-17.75,-149.2833,25.93,81,80,5.93,PF,1738753665
159,souillac,-20.5167,57.5167,31.21,74,20,7.2,MU,1738753666
160,nicoya,10.1483,-85.452,20.94,89,4,1.71,CR,1738753667
161,tralee,52.2704,-9.7026,5.14,100,0,0.0,IE,1738753668
162,hermanus,-34.4187,19.2345,21.0,65,100,4.63,ZA,1738753669
163,margaret river,-33.95,115.0667,20.94,77,0,8.05,AU,1738753671
164,quzhou,28.9594,118.8686,9.91,51,98,1.49,CN,1738753672
165,singkil,-7.9855,111.4161,26.43,86,68,1.46,ID,1738753673
166,hithadhoo,-0.6,73.0833,28.06,67,39,5.24,MV,1738753674
167,manicore,-5.8092,-61.3003,22.29,99,100,0.92,BR,1738753675
168,eureka,40.8021,-124.1637,3.68,96,32,2.68,US,1738753521
169,sandanski,41.5667,23.2833,8.0,35,1,2.49,BG,1738753654
170,kayanza,-3.0667,29.6667,23.95,53,100,2.02,BI,1738753680
171,shorapur,16.5167,76.75,33.25,18,3,3.91,IN,1738753681
172,gadzhiyevo,69.2551,33.3362,-8.96,91,100,12.84,RU,1738753682
173,ambovombe,-25.1667,46.0833,27.99,79,93,7.16,MG,1738753683
174,thanh hoa,19.8,105.7667,17.44,77,82,3.0,VN,1738753684
175,uvira,-3.4067,29.1458,28.25,58,100,1.26,CD,1738753685
176,oroqen zizhiqi,50.5667,123.7167,-27.14,99,99,0.9,CN,1738753526
177,ushuaia,-54.8,-68.3,9.81,62,40,2.06,AR,1738753526
178,guichon,-32.35,-57.2,26.73,71,0,4.86,UY,1738753690
179,bardai,11.65,7.2333,30.61,5,5,7.44,NG,1738753691
180,fisterra,42.9049,-9.2629,13.16,77,48,2.18,ES,1738753692
181,polva,58.0603,27.0694,-0.88,67,91,4.18,EE,1738753693
182,ataq,14.5377,46.8319,25.45,21,0,7.38,YE,1738753694
183,carnarvon,-24.8667,113.6333,27.03,79,1,8.18,AU,1738753696
184,karamay,45.6004,84.8661,-11.56,90,72,1.02,CN,1738753697
185,kuanda,56.3161,116.0806,-28.56,92,100,0.63,RU,1738753699
186,la passe,45.5549,-0.8967,8.95,70,100,2.46,FR,1738753700
187,brisas de zicatela,15.8369,-97.0419,24.85,60,2,1.88,MX,1738753701
188,buala,-8.145,159.5921,27.53,79,100,2.0,SB,1738753702
189,tumbes,-3.5667,-80.4414,24.95,75,99,1.42,PE,1738753703
190,tsiombe,-25.3,45.4833,27.92,80,91,7.49,MG,1738753645
191,purwodadi,-7.0868,110.9158,25.54,87,95,8.22,ID,1738753705
192,santana,-0.0583,-51.1817,27.1,89,75,1.03,BR,1738753581
193,lata,40.1629,-8.3327,11.87,52,4,1.19,PT,1738753708
194,strezhevoy,60.7333,77.5889,-16.83,100,87,0.43,RU,1738753709
195,thompson,55.7435,-97.8558,-19.3,82,34,5.75,CA,1738753710
196,lethbridge,49.7,-112.8186,-22.94,70,100,3.09,CA,1738753553
197,darab,28.7519,54.5444,17.56,17,0,2.27,IR,1738753644
198,holualoa,19.6228,-155.9522,18.24,81,4,0.45,US,1738753713
199,arawa,-6.2132,155.5367,25.98,89,100,1.02,PG,1738753714
200,haiku-pauwela,20.9219,-156.3051,20.58,85,40,4.47,US,1738753715
201,susuman,62.7833,148.1667,-42.91,97,30,0.35,RU,1738753716
202,galveston,29.3669,-94.9669,20.59,94,100,4.12,US,1738753718
203,crane,31.3974,-102.3501,16.17,92,1,7.14,US,1738753719
204,sao francisco de assis,-29.5503,-55.1311,30.55,38,0,3.52,BR,1738753720
205,isiro,2.7739,27.616,39.07,16,100,1.1,CD,1738753721
206,guanica,17.9716,-66.908,23.88,62,0,1.99,PR,1738753722
207,khandyga,62.6667,135.6,-39.71,99,14,0.27,RU,1738753723
208,saraipali,21.3333,83.0,34.29,18,44,2.14,IN,1738753724
209,carauari,-4.8828,-66.8958,22.5,99,100,0.96,BR,1738753725
210,gisborne,-38.6533,178.0042,14.46,81,16,1.34,NZ,1738753481
211,nakhon si thammarat,8.25,100.0,26.49,74,59,3.99,TH,1738753690
212,st. john's,47.5649,-52.7093,-5.02,82,58,4.02,CA,1738753729
213,ngala,12.3377,14.1805,30.48,15,25,6.32,NG,1738753730
214,port elizabeth,-33.918,25.5701,25.73,70,28,4.47,ZA,1738753731
215,kisangani,0.5167,25.2,37.77,28,93,1.64,CD,1738753732
